filename,encoding,len,n,result
net/throughput.js,utf8,4,1000000,3303104.05173
net/throughput.js,utf8,8,1000000,3285733.38474
net/throughput.js,utf8,16,1000000,3495067.40264
net/throughput.js,utf8,32,1000000,3650703.40019
net/throughput.js,utf8,48,1000000,3672706.23987
net/throughput.js,utf8,64,1000000,3604059.02679
net/throughput.js,ascii,1,1000000,3200682.11913
net/throughput.js,ascii,4,1000000,3293923.03744
net/throughput.js,ascii,8,1000000,3398814.87812
net/throughput.js,ascii,16,1000000,3527453.33506
net/throughput.js,ascii,32,1000000,3673866.92415
net/throughput.js,ascii,48,1000000,3676901.73200
net/throughput.js,ascii,64,1000000,3665104.86897
net/throughput.js,buffer,1,1000000,3406522.49178
net/throughput.js,buffer,4,1000000,3677636.57480
net/throughput.js,buffer,8,1000000,3683279.68593
net/throughput.js,buffer,16,1000000,3733370.65708
net/throughput.js,buffer,32,1000000,3829356.06647
net/throughput.js,buffer,48,1000000,3790865.21426
net/throughput.js,buffer,64,1000000,3795690.04482
net/throughput.js,utf8,1,1000000,3335577.28736
net/throughput.js,utf8,4,1000000,3266649.19793
net/throughput.js,utf8,8,1000000,3441747.31839
net/throughput.js,utf8,16,1000000,3306706.66212
net/throughput.js,utf8,32,1000000,3505192.45189
net/throughput.js,utf8,48,1000000,3549176.16221
net/throughput.js,utf8,64,1000000,3560082.37276
net/throughput.js,ascii,1,1000000,3299101.91782
net/throughput.js,ascii,4,1000000,3477595.62669
net/throughput.js,ascii,8,1000000,4429451.73465
net/throughput.js,ascii,16,1000000,3472838.81993
net/throughput.js,ascii,32,1000000,3535393.71742
net/throughput.js,ascii,48,1000000,3532011.72424
net/throughput.js,ascii,64,1000000,3742845.11645
net/throughput.js,buffer,1,1000000,3333261.11268
net/throughput.js,buffer,4,1000000,3513356.71240
net/throughput.js,buffer,8,1000000,3678802.66510
net/throughput.js,buffer,16,1000000,3575203.34773
net/throughput.js,buffer,32,1000000,3687660.71332
net/throughput.js,buffer,48,1000000,3562703.73900
net/throughput.js,buffer,64,1000000,3676342.51095
net/throughput.js,utf8,1,1000000,3267298.08073
net/throughput.js,utf8,4,1000000,3289479.86281
net/throughput.js,utf8,8,1000000,3460196.42968
net/throughput.js,utf8,16,1000000,3547846.51712
net/throughput.js,utf8,32,1000000,3264189.38064
net/throughput.js,utf8,48,1000000,3607013.64180
net/throughput.js,utf8,64,1000000,3623243.60775
net/throughput.js,ascii,1,1000000,3038752.29025
net/throughput.js,ascii,4,1000000,3781918.34132
net/throughput.js,ascii,8,1000000,3321398.33128
net/throughput.js,ascii,16,1000000,3297612.01711
net/throughput.js,ascii,32,1000000,3627781.16361
net/throughput.js,ascii,48,1000000,3690714.57549
net/throughput.js,ascii,64,1000000,3704430.55414
net/throughput.js,buffer,1,1000000,3452112.73062
net/throughput.js,buffer,4,1000000,3759465.60129
net/throughput.js,buffer,8,1000000,3748755.97533
net/throughput.js,buffer,16,1000000,3781751.10483
net/throughput.js,buffer,32,1000000,3790145.56770
net/throughput.js,buffer,48,1000000,3844077.36427
net/throughput.js,buffer,64,1000000,3942273.15231
net/throughput.js,utf8,1,1000000,3267488.18573
net/throughput.js,utf8,4,1000000,3341161.59699
net/throughput.js,utf8,8,1000000,3273495.65501
net/throughput.js,utf8,16,1000000,3392309.87301
net/throughput.js,utf8,32,1000000,3557669.74112
net/throughput.js,utf8,48,1000000,3733676.00912
net/throughput.js,utf8,64,1000000,3529066.97486
net/throughput.js,ascii,1,1000000,2981502.76875
net/throughput.js,ascii,4,1000000,3102742.62125
net/throughput.js,ascii,8,1000000,3452717.61660
net/throughput.js,ascii,16,1000000,3737169.65658
net/throughput.js,ascii,32,1000000,3518983.22893
net/throughput.js,ascii,48,1000000,3583734.96371
net/throughput.js,ascii,64,1000000,3841799.84573
net/throughput.js,buffer,1,1000000,3578129.14219
net/throughput.js,buffer,4,1000000,3618070.77577
net/throughput.js,buffer,8,1000000,3750746.39853
net/throughput.js,buffer,16,1000000,3664904.59398
net/throughput.js,buffer,32,1000000,3687029.61752
net/throughput.js,buffer,48,1000000,3727456.32551
